"International_data"
"http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2012&v=H&vo=0&so=0&io=0&start=1993&end=2012&vs=INTL.79-1-AFG-TBPD.A~INTL.79-1-ALB-TBPD.A~INTL.79-1-DZA-TBPD.A~INTL.79-1-ASM-TBPD.A~INTL.79-1-AGO-TBPD.A~INTL.79-1-ATA-TBPD.A~INTL.79-1-ATG-TBPD.A~INTL.79-1-ARG-TBPD.A~INTL.79-1-ARM-TBPD.A~INTL.79-1-ABW-TBPD.A~INTL.79-1-AUS-TBPD.A~INTL.79-1-AUT-TBPD.A~INTL.79-1-AZE-TBPD.A~INTL.79-1-BHS-TBPD.A~INTL.79-1-BHR-TBPD.A~INTL.79-1-BGD-TBPD.A~INTL.79-1-BRB-TBPD.A~INTL.79-1-BLR-TBPD.A~INTL.79-1-BEL-TBPD.A~INTL.79-1-BLZ-TBPD.A~INTL.79-1-BEN-TBPD.A~INTL.79-1-BMU-TBPD.A~INTL.79-1-BTN-TBPD.A~INTL.79-1-BOL-TBPD.A~INTL.79-1-BIH-TBPD.A~INTL.79-1-BWA-TBPD.A~INTL.79-1-BRA-TBPD.A~INTL.79-1-BRN-TBPD.A~INTL.79-1-BGR-TBPD.A~INTL.79-1-BFA-TBPD.A~INTL.79-1-MMR-TBPD.A~INTL.79-1-BDI-TBPD.A~INTL.79-1-KHM-TBPD.A~INTL.79-1-CMR-TBPD.A~INTL.79-1-CAN-TBPD.A~INTL.79-1-CPV-TBPD.A~INTL.79-1-CYM-TBPD.A~INTL.79-1-CAF-TBPD.A~INTL.79-1-TCD-TBPD.A~INTL.79-1-CHL-TBPD.A~INTL.79-1-CHN-TBPD.A~INTL.79-1-COL-TBPD.A~INTL.79-1-COM-TBPD.A~INTL.79-1-COD-TBPD.A~INTL.79-1-COK-TBPD.A~INTL.79-1-CRI-TBPD.A~INTL.79-1-CIV-TBPD.A~INTL.79-1-HRV-TBPD.A~INTL.79-1-CUB-TBPD.A~INTL.79-1-CYP-TBPD.A~INTL.79-1-CZE-TBPD.A~INTL.79-1-DNK-TBPD.A~INTL.79-1-DJI-TBPD.A~INTL.79-1-DMA-TBPD.A~INTL.79-1-DOM-TBPD.A~INTL.79-1-ECU-TBPD.A~INTL.79-1-EGY-TBPD.A~INTL.79-1-SLV-TBPD.A~INTL.79-1-GNQ-TBPD.A~INTL.79-1-ERI-TBPD.A~INTL.79-1-EST-TBPD.A~INTL.79-1-ETH-TBPD.A~INTL.79-1-FLK-TBPD.A~INTL.79-1-FRO-TBPD.A~INTL.79-1-FJI-TBPD.A~INTL.79-1-FIN-TBPD.A~INTL.79-1-FRA-TBPD.A~INTL.79-1-GUF-TBPD.A~INTL.79-1-PYF-TBPD.A~INTL.79-1-GAB-TBPD.A~INTL.79-1-GMB-TBPD.A~INTL.79-1-GEO-TBPD.A~INTL.79-1-DEU-TBPD.A~INTL.79-1-GHA-TBPD.A~INTL.79-1-GIB-TBPD.A~INTL.79-1-GRC-TBPD.A~INTL.79-1-GRL-TBPD.A~INTL.79-1-GRD-TBPD.A~INTL.79-1-GLP-TBPD.A~INTL.79-1-GUM-TBPD.A~INTL.79-1-GTM-TBPD.A~INTL.79-1-GIN-TBPD.A~INTL.79-1-GNB-TBPD.A~INTL.79-1-GUY-TBPD.A~INTL.79-1-HTI-TBPD.A~INTL.79-1-HND-TBPD.A~INTL.79-1-HKG-TBPD.A~INTL.79-1-HUN-TBPD.A~INTL.79-1-ISL-TBPD.A~INTL.79-1-IND-TBPD.A~INTL.79-1-IDN-TBPD.A~INTL.79-1-IRN-TBPD.A~INTL.79-1-IRQ-TBPD.A~INTL.79-1-IRL-TBPD.A~INTL.79-1-ISR-TBPD.A~INTL.79-1-ITA-TBPD.A~INTL.79-1-JAM-TBPD.A~INTL.79-1-JPN-TBPD.A~INTL.79-1-JOR-TBPD.A~INTL.79-1-KAZ-TBPD.A~INTL.79-1-KEN-TBPD.A~INTL.79-1-KIR-TBPD.A~INTL.79-1-PRK-TBPD.A~INTL.79-1-KOR-TBPD.A~INTL.79-1-KWT-TBPD.A~INTL.79-1-KGZ-TBPD.A~INTL.79-1-LAO-TBPD.A~INTL.79-1-LVA-TBPD.A~INTL.79-1-LBN-TBPD.A~INTL.79-1-LSO-TBPD.A~INTL.79-1-LBR-TBPD.A~INTL.79-1-LBY-TBPD.A~INTL.79-1-LTU-TBPD.A~INTL.79-1-LUX-TBPD.A~INTL.79-1-MAC-TBPD.A~INTL.79-1-MKD-TBPD.A~INTL.79-1-MDG-TBPD.A~INTL.79-1-MWI-TBPD.A~INTL.79-1-MYS-TBPD.A~INTL.79-1-MDV-TBPD.A~INTL.79-1-MLI-TBPD.A~INTL.79-1-MLT-TBPD.A~INTL.79-1-MTQ-TBPD.A~INTL.79-1-MRT-TBPD.A~INTL.79-1-MUS-TBPD.A~INTL.79-1-MEX-TBPD.A~INTL.79-1-FSM-TBPD.A~INTL.79-1-MDA-TBPD.A~INTL.79-1-MNG-TBPD.A~INTL.79-1-MNE-TBPD.A~INTL.79-1-MSR-TBPD.A~INTL.79-1-MAR-TBPD.A~INTL.79-1-MOZ-TBPD.A~INTL.79-1-NAM-TBPD.A~INTL.79-1-NRU-TBPD.A~INTL.79-1-NPL-TBPD.A~INTL.79-1-NLD-TBPD.A~INTL.79-1-NLDA-TBPD.A~INTL.79-1-NCL-TBPD.A~INTL.79-1-NZL-TBPD.A~INTL.79-1-NIC-TBPD.A~INTL.79-1-NER-TBPD.A~INTL.79-1-NGA-TBPD.A~INTL.79-1-NIU-TBPD.A~INTL.79-1-NOR-TBPD.A~INTL.79-1-OMN-TBPD.A~INTL.79-1-PAK-TBPD.A~INTL.79-1-PSE-TBPD.A~INTL.79-1-PAN-TBPD.A~INTL.79-1-PNG-TBPD.A~INTL.79-1-PRY-TBPD.A~INTL.79-1-PER-TBPD.A~INTL.79-1-PHL-TBPD.A~INTL.79-1-POL-TBPD.A~INTL.79-1-PRT-TBPD.A~INTL.79-1-PRI-TBPD.A~INTL.79-1-QAT-TBPD.A~INTL.79-1-REU-TBPD.A~INTL.79-1-ROU-TBPD.A~INTL.79-1-RUS-TBPD.A~INTL.79-1-RWA-TBPD.A~INTL.79-1-SHN-TBPD.A~INTL.79-1-KNA-TBPD.A~INTL.79-1-LCA-TBPD.A~INTL.79-1-SPM-TBPD.A~INTL.79-1-VCT-TBPD.A~INTL.79-1-WSM-TBPD.A~INTL.79-1-STP-TBPD.A~INTL.79-1-SAU-TBPD.A~INTL.79-1-SEN-TBPD.A~INTL.79-1-SRB-TBPD.A~INTL.79-1-SYC-TBPD.A~INTL.79-1-SLE-TBPD.A~INTL.79-1-SGP-TBPD.A~INTL.79-1-SVK-TBPD.A~INTL.79-1-SVN-TBPD.A~INTL.79-1-SLB-TBPD.A~INTL.79-1-SOM-TBPD.A~INTL.79-1-ZAF-TBPD.A~INTL.79-1-ESP-TBPD.A~INTL.79-1-LKA-TBPD.A~INTL.79-1-SDN-TBPD.A~INTL.79-1-SUR-TBPD.A~INTL.79-1-SWZ-TBPD.A~INTL.79-1-SWE-TBPD.A~INTL.79-1-CHE-TBPD.A~INTL.79-1-SYR-TBPD.A~INTL.79-1-TWN-TBPD.A~INTL.79-1-TJK-TBPD.A~INTL.79-1-TZA-TBPD.A~INTL.79-1-THA-TBPD.A~INTL.79-1-TLS-TBPD.A~INTL.79-1-TGO-TBPD.A~INTL.79-1-TON-TBPD.A~INTL.79-1-TTO-TBPD.A~INTL.79-1-TUN-TBPD.A~INTL.79-1-TUR-TBPD.A~INTL.79-1-TKM-TBPD.A~INTL.79-1-TCA-TBPD.A~INTL.79-1-TUV-TBPD.A~INTL.79-1-USIQ-TBPD.A~INTL.79-1-USOH-TBPD.A~INTL.79-1-UGA-TBPD.A~INTL.79-1-UKR-TBPD.A~INTL.79-1-ARE-TBPD.A~INTL.79-1-GBR-TBPD.A~INTL.79-1-USA-TBPD.A~INTL.79-1-URY-TBPD.A~INTL.79-1-UZB-TBPD.A~INTL.79-1-VUT-TBPD.A~INTL.79-1-VEN-TBPD.A~INTL.79-1-VNM-TBPD.A~INTL.79-1-VIR-TBPD.A~INTL.79-1-VGB-TBPD.A~INTL.79-1-WAK-TBPD.A~INTL.79-1-ESH-TBPD.A~INTL.79-1-YEM-TBPD.A~INTL.79-1-ZMB-TBPD.A~INTL.79-1-ZWE-TBPD.A&c=ruvvvvvfrsujvv1vrvvtvfvvvvvvfvvvou20evvvfvrvvvvnvurg&pa=000003g0000e&f=A&ug=g&ct=0&tl_type=p&tl_id=79-A&s="
"Wed Apr 20 2016 15:13:21 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,0.1,0.1,0.1
"","Hungary",""
"","Production","1000 bbl/d",,,,,,,,,,,,,0.1,0.6,0.7,5.1,5.1,6,5.8,4.3
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,0.1,0.6,0.5,2.4,2.6,3.2,3,1.5
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,0.2,2.7,2.5,2.8,2.8,2.8
"","Consumption","1000 bbl/d",,,,,,,,,,,,,0.1,0.4,0.9,4.2,4.3,4.6,4.2,4.2
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,0.1,0.4,0.9,1.6,1.6,2,1.8,1.8
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,(s),(s),2.6,2.7,2.6,2.4,2.4
"","Iceland",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,(s),(s),(s),(s),(s)
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,(s),(s),(s),(s),(s)
"","India",""
"","Production","1000 bbl/d",,,,,,,,2.9,3,3.2,3.3,3.5,3.9,4.5,4.7,5.2,3,2.4,8,7.2
"","Fuel Ethanol","1000 bbl/d",,,,,,,,2.9,3,3.2,3.3,3.5,3.7,4.1,4.5,5,1.7,0.9,6.3,5.3
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,0.2,0.4,0.2,0.2,1.3,1.6,1.8,2
"","Consumption","1000 bbl/d",,,,,,,,2.9,3,3.2,3.3,3.5,3.9,4.5,4.7,5.2,2.7,1.8,7.3,6.5
"","Fuel Ethanol","1000 bbl/d",,,,,,,,2.9,3,3.2,3.3,3.5,3.7,4.1,4.5,5,1.7,0.9,6.3,5.3
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,0.2,0.4,0.2,0.2,1,0.9,1,1.2
"","Indonesia",""
"","Production","1000 bbl/d",,,,,,,,,,,,,0.2,0.5,1.2,2.2,5.9,13,31,38
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.1,0.1,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,0.2,0.4,1,2,5.7,13,31,38
"","Consumption","1000 bbl/d",,,,,,,,,,,,,(s),0.3,0.6,1.2,1,3.8,7.6,14
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,0.1,0.2,0.2,,,1.4,2.5
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,(s),0.2,0.4,1,1,3.8,6.2,12
"","Iran",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Iraq",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Ireland",""
"","Production","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.4,0.6,1.4,1.3,1.1,0.9
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,(s),0.1,0.2,0.2,0.2,0.2,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.3,0.4,1.2,1.1,0.9,0.9
"","Consumption","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.6,1.4,2,2.3,2.5,2.5
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.2,0.6,0.8,1,1,1
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.4,0.8,1.2,1.3,1.5,1.5
"","Israel",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,0.1,0.1,0.1
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,0.1,0.1,0.1
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
"","Italy",""
"","Production","1000 bbl/d",,,,,,,,1.6,2.8,4.1,5.3,6.2,7.8,14,10,14,17,17,12,11
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,0.1,2.2,1,1,1,2,1,0.9
"","Biodiesel","1000 bbl/d",,,,,,,,1.6,2.8,4.1,5.3,6.2,7.7,12,9.2,13,16,15,11,9.8
"","Consumption","1000 bbl/d",,,,,,,,,,,,5.6,4.1,4.6,4.2,16,27,35,36,21
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,0.2,0.2,0.2,2,4,5.2,4.9,8.3
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,5.6,3.9,4.4,4,14,23,30,31,13
"","Jamaica",""
"","Production","1000 bbl/d",,,,,,,,--,--,1.9,2.6,2,2.2,5.2,4.9,6.4,6.9,2,3,
"","Fuel Ethanol","1000 bbl/d",--,--,--,--,--,--,--,--,--,1.9,2.6,2,2.2,5.2,4.9,6.4,6.9,2,3,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,0.1,1,1,2,2
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,0.1,1,1,2,2
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Japan",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,0.1,0.1,0.1,0.4,1,0.6,0.7
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,(s),(s),(s),0.3,0.9,0.4,0.4
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"","Consumption","1000 bbl/d",,,,,,,,,,,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.7,1.1,1.2
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,(s),0.1,0.1,0.3,0.5,0.9,1
"","Biodiesel","1000 bbl/d",,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Jordan",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Kazakhstan",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,(s),,0.5,0.1,(s),
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,(s),,0.5,0.1,(s),
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Kenya",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",--,,,,,,,,,,,,,,,,,,--,--
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",--,,,,,,,,,,,,,,,,,,--,--
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Kiribati",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Korea, North",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Korea, South",""
"","Production","1000 bbl/d",,,,,,,,,,(s),(s),0.1,0.2,0.9,1.7,3.2,5,6.5,6.3,7
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,0.6
"","Biodiesel","1000 bbl/d",,,,,,,,,,(s),(s),0.1,0.2,0.9,1.7,3.2,5,6.5,6.3,6.4
"","Consumption","1000 bbl/d",,,,,,,,,,(s),(s),0.1,0.2,0.9,1.7,3.2,5,6.6,6.5,6.5
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,0.1,0.2,0.2
"","Biodiesel","1000 bbl/d",,,,,,,,,,(s),(s),0.1,0.2,0.9,1.7,3.2,5,6.5,6.3,6.3
"","Kuwait",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Kyrgyzstan",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Laos",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Latvia",""
"","Production","1000 bbl/d",,,,,,,,,,,,0.2,0.3,0.3,0.5,0.9,1.2,1.1,1,1.3
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.1
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,0.1,0.1,0.2,0.6,0.9,0.8,0.9,1.2
"","Consumption","1000 bbl/d",,,,,,,,,,,,,0.1,(s),(s),(s),0.2,0.7,1.1,1.1
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,(s),(s),(s),(s),0.1,0.3,0.3,0.3
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,0.1,(s),(s),(s),(s),0.4,0.8,0.8
"","Lebanon",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Lesotho",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Liberia",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Libya",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Lithuania",""
"","Production","1000 bbl/d",,,,,,,,,,,,0.1,0.2,0.5,0.8,1.7,2.4,2.5,1.9,1.9
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,(s),0.1,0.3,0.3,0.4,0.5,0.8,0.3,0.2
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,0.1,0.1,0.2,0.5,1.3,1.9,1.7,1.6,1.7
"","Consumption","1000 bbl/d",,,,,,,,,,,,(s),0.1,0.5,1.3,1.5,1.3,1.2,1.1,1.2
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,(s),0.2,0.4,0.5,0.5,0.4,0.3,0.3
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,(s),0.1,0.3,0.9,1,0.8,0.8,0.8,0.9
"","Luxembourg",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.7,0.8,0.9,0.9,1,0.2
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,(s),(s),(s),(s),0.2,0.2
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,(s),(s),0.7,0.8,0.9,0.9,0.8,
"","Macau",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Macedonia",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,(s),(s),(s),(s),(s),(s)
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,(s),(s),(s),(s),(s),(s)
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,(s),(s),(s),(s),(s)
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,(s),(s),(s),(s),(s)
"","Madagascar",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Malawi",""
"","Production","1000 bbl/d",,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Fuel Ethanol","1000 bbl/d",0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Consumption","1000 bbl/d",,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Fuel Ethanol","1000 bbl/d",0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Malaysia",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,1.1,2.5,4.5,4.5,1.6,1,2.9
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,1.1,2.5,4.5,4.5,1.6,1,2.9
"","Consumption","1000 bbl/d",,,,,,,,,,,,,,0.2,0.7,0.2,,(s),(s),2.6
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,0.2,0.7,0.2,,(s),(s),2.6
"","Maldives",""
"","Production","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Fuel Ethanol","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
"","Biodiesel","1000 bbl/d",,,,,,,,,,,,,,,,,,,,
